text,intent,sentiment
"I need a clear product answer before I decide. Before choosing Prepaid Unlimited, could you explain what is included and the $90 price for an enterprise customer in Singapore?",Product Inquiry,Angry
Please address this refund request promptly. I am within 7 days of starting ZENDFiber Home 300 Mbps in Singapore and my usage is below 10%. Can I request a full refund?,Refund,Angry
"I have already tried to get an answer. After repeated requests for help with fiber connectivity, my ZENDFiber Home 100 Mbps concern is still unresolved. Please escalate it. I need this resolved promptly.",Complaint,Angry
I have already tried to get an answer. I am dissatisfied with how the troubleshooting issue on my ZENDOffice Net 1G account has been handled. I need a proper resolution. I need this resolved promptly.,Complaint,Angry
This has been helpful so far. Please explain whether my ZENDFiber Home 100 Mbps service in India is eligible for a refund before the 7-day period ends.,Refund,Happy
Please address this refund request promptly. Please clarify the refund rule before I make a decision about my ZENDFleet IoT service in India.,Refund,Angry
I would like to understand this better. I am reviewing the $70 charge for Postpaid Gold in Thailand. Which billing rule applies to an enterprise customer? Please let me know.,Billing,Neutral
Which ZENDS support option covers installation listed under Home & Office Internet for an individual customer using ZENDFiber Home 300 Mbps? Kindly confirm.,Technical,Neutral
I appreciate the clarification so far. Is the $40 amount for ZENDFiber Home 300 Mbps in Thailand part of the monthly advance billing cycle?,Billing,Happy
"I am pleased with the guidance so far. For an enterprise customer in Thailand, how do the listed prices of ZENDBiz Connect 1G ($144) and ZENDEnterprise Dedicated ($360) differ? Could you confirm that for me?",Product Inquiry,Happy
This has been helpful so far. Could you explain why ZENDS bills ZENDFleet IoT in advance each month for customers in USA? I would appreciate a quick confirmation.,Billing,Happy
I need a clear decision about my refund request. What information is relevant when requesting a refund for an enterprise ZENDBiz Connect 100 service in India? I need this resolved promptly.,Refund,Angry
I appreciate the clarification so far. I am within 7 days of starting ZENDCloud VM Pro in Thailand and my usage is below 10%. Can I request a full refund? I would appreciate a quick confirmation.,Refund,Happy
"I would like to understand this better. Before choosing ZENDFleet IoT, could you explain what is included and the $130 price for an enterprise customer in USA?",Product Inquiry,Neutral
Could you clarify one point? The problem with monitoring on my individual ZENDCloud VM Pro account keeps recurring. I need a formal resolution.,Complaint,Neutral
Could you clarify one point? The listed price for ZENDFiber Home 100 Mbps is $30 for an individual customer in USA. When is that charge billed? Kindly confirm.,Billing,Neutral
"I am pleased with the guidance so far. For an individual customer in Singapore, how do the listed prices of ZENDSmart Parking ($66) and ZENDSmart Lighting ($88) differ? Could you confirm that for me?",Product Inquiry,Happy
Good to know. Where can an individual customer using ZENDBiz Connect 100 in Thailand get technical assistance with priority troubleshooting under Business Connectivity? I would appreciate a quick confirmation.,Technical,Happy
Please address this refund request promptly. I am within 7 days of starting ZENDBiz Connect 500 in India and my usage is below 10%. Can I request a full refund? Please respond clearly.,Refund,Angry
"This has been helpful so far. Which services does ZENDS list under IoT & Smart Solutions, including analytics, for someone considering ZENDSmart Parking in India?",Product Inquiry,Happy
Could you clarify one point? Can you help me use installation listed under Home & Office Internet? My product is ZENDFiber Home 100 Mbps in Singapore.,Technical,Neutral
I am glad I checked this in advance. I am reviewing the $70 charge for ZENDCloud VM Pro in USA. Which billing rule applies to an enterprise customer? Could you confirm that for me?,Billing,Happy
I would like to understand this better. Could you describe ZENDCloud VM Pro and confirm whether $70 is its listed price in USA?,Product Inquiry,Neutral
I am glad I checked this in advance. Could you confirm the 7-day and under-10%-usage conditions for a full refund on Prepaid Plus?,Refund,Happy
I need an answer about refund eligibility today. I am within 7 days of starting Prepaid Unlimited in India and my usage is below 10%. Can I request a full refund?,Refund,Angry
I should not have to keep asking about this. The support provided for 24/7 technical support on ZENDFiber Home 300 Mbps did not resolve my problem. Who can formally review this? I need this resolved promptly.,Complaint,Angry
I am trying to use router and WiFi equipment listed under Home & Office Internet while using ZENDOffice Net 500 in Thailand. Which steps should I follow? Please let me know.,Technical,Neutral
Good to know. How does monthly billing in advance apply to my enterprise ZENDFiber Home 1 Gbps service in India?,Billing,Happy
"I am glad someone is looking into this, but I am dissatisfied with how the fiber connectivity issue on my ZENDOffice Net 200 account has been handled. I need a proper resolution. I would appreciate a quick confirmation.",Complaint,Happy
